member,archive,archive_url,crs,min_x,min_y,max_x,max_y
3dm_33_389_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5824000,390000,5825000
3dm_33_389_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5825000,390000,5826000
3dm_33_390_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5816000,391000,5817000
3dm_33_390_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5817000,391000,5818000
3dm_33_390_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5818000,391000,5819000
3dm_33_390_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5819000,391000,5820000
3dm_33_390_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5820000,391000,5821000
3dm_33_390_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5821000,391000,5822000
3dm_33_390_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5822000,391000,5823000
3dm_33_390_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5823000,391000,5824000
3dm_33_390_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5824000,391000,5825000
3dm_33_390_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,390000,5825000,391000,5826000
3dm_33_391_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5816000,392000,5817000
3dm_33_391_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5817000,392000,5818000
3dm_33_391_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5818000,392000,5819000
3dm_33_391_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5819000,392000,5820000
3dm_33_391_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5820000,392000,5821000
3dm_33_391_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5821000,392000,5822000
3dm_33_391_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5822000,392000,5823000
3dm_33_391_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5823000,392000,5824000
3dm_33_391_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5824000,392000,5825000
3dm_33_391_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,391000,5825000,392000,5826000
3dm_33_392_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5816000,393000,5817000
3dm_33_392_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5817000,393000,5818000
3dm_33_392_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5818000,393000,5819000
3dm_33_392_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5819000,393000,5820000
3dm_33_392_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5820000,393000,5821000
3dm_33_392_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5821000,393000,5822000
3dm_33_392_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5822000,393000,5823000
3dm_33_392_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5823000,393000,5824000
3dm_33_392_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5824000,393000,5825000
3dm_33_392_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,392000,5825000,393000,5826000
3dm_33_393_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5816000,394000,5817000
3dm_33_393_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5817000,394000,5818000
3dm_33_393_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5818000,394000,5819000
3dm_33_393_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5819000,394000,5820000
3dm_33_393_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5820000,394000,5821000
3dm_33_393_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5821000,394000,5822000
3dm_33_393_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5822000,394000,5823000
3dm_33_393_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5823000,394000,5824000
3dm_33_393_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5824000,394000,5825000
3dm_33_393_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,393000,5825000,394000,5826000
3dm_33_394_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5816000,395000,5817000
3dm_33_394_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5817000,395000,5818000
3dm_33_394_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5818000,395000,5819000
3dm_33_394_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5819000,395000,5820000
3dm_33_394_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5820000,395000,5821000
3dm_33_394_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5821000,395000,5822000
3dm_33_394_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5822000,395000,5823000
3dm_33_394_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5823000,395000,5824000
3dm_33_394_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5824000,395000,5825000
3dm_33_394_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,394000,5825000,395000,5826000
3dm_33_395_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5816000,396000,5817000
3dm_33_395_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5817000,396000,5818000
3dm_33_395_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,395000,5818000,396000,5819000
