task_id	hash	name	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rchar	wchar
28	6b/12470d	OSM_EXTRACT (chunk_00025)	chunk_00025	COMPLETED	0	1	13.9s	16s	390.5%	14 GB	16.3 GB	2.4 GB	30.1 MB
120	d9/047bc8	OSM_TO_SHAPES (grid_25832_35_349)	grid_25832_35_349	COMPLETED	0	1	1s	2s	103.1%	15.8 MB	176.9 MB	92.2 MB	48.2 MB
119	a8/e0e0d0	OSM_TO_SHAPES (grid_25832_35_348)	grid_25832_35_348	COMPLETED	0	1	2.2s	3.2s	102.0%	16 MB	176.9 MB	224.8 MB	117.7 MB
35	1b/56e605	OSM_EXTRACT (chunk_00032)	chunk_00032	COMPLETED	0	1	14.3s	16.5s	385.4%	14.2 GB	16.5 GB	2.4 GB	22.6 MB
39	65/c12523	OSM_EXTRACT (chunk_00036)	chunk_00036	COMPLETED	0	1	14.7s	16.5s	381.8%	14.2 GB	16.6 GB	2.4 GB	28.5 MB
22	cc/25a42f	OSM_EXTRACT (chunk_00019)	chunk_00019	COMPLETED	0	1	15.1s	17.7s	362.9%	13.6 GB	15.9 GB	2.4 GB	17.4 MB
41	57/cdcbf5	OSM_EXTRACT (chunk_00038)	chunk_00038	COMPLETED	0	1	15.4s	18.1s	362.6%	13.2 GB	15.6 GB	2.4 GB	32 MB
47	30/f55d28	OSM_EXTRACT (chunk_00044)	chunk_00044	COMPLETED	0	1	15.2s	17.8s	369.9%	13.2 GB	15.6 GB	2.4 GB	32.8 MB
130	5b/6e6b48	OSM_TO_SHAPES (grid_25832_35_334)	grid_25832_35_334	COMPLETED	0	1	1.3s	2.5s	101.6%	16.3 MB	176.9 MB	238.6 MB	97.4 MB
118	2a/97a2d6	OSM_TO_SHAPES (grid_25832_35_347)	grid_25832_35_347	COMPLETED	0	1	2.5s	3.8s	101.4%	241.3 MB	9.6 GB	611 MB	208.5 MB
129	0a/94805d	OSM_TO_SHAPES (grid_25832_35_330)	grid_25832_35_330	COMPLETED	0	1	544ms	1.9s	102.2%	16.2 MB	176.9 MB	51.3 MB	23.4 MB
128	6b/e495bd	OSM_TO_SHAPES (grid_25832_35_329)	grid_25832_35_329	COMPLETED	0	1	2.3s	3.9s	101.5%	243.7 MB	9.6 GB	277.8 MB	134.9 MB
131	5b/0086c9	OSM_TO_SHAPES (grid_25832_35_335)	grid_25832_35_335	COMPLETED	0	1	1.1s	2.1s	100.9%	16 MB	176.9 MB	170.2 MB	75.5 MB
136	82/616f24	OSM_TO_SHAPES (grid_25832_33_347)	grid_25832_33_347	COMPLETED	0	1	608ms	1.6s	102.7%	16 MB	176.9 MB	61.7 MB	28.9 MB
33	c8/4f8b90	OSM_EXTRACT (chunk_00030)	chunk_00030	COMPLETED	0	1	15.1s	16.4s	376.6%	13.7 GB	16.1 GB	2.4 GB	39.9 MB
137	86/cdadb7	OSM_TO_SHAPES (grid_25832_34_329)	grid_25832_34_329	COMPLETED	0	1	1.6s	3s	101.6%	15.8 MB	176.9 MB	197.6 MB	96.1 MB
59	39/e33ff4	OSM_EXTRACT (chunk_00056)	chunk_00056	COMPLETED	0	1	14.2s	15.4s	378.3%	13.8 GB	16.1 GB	2.4 GB	15.1 MB
134	7e/6b332e	OSM_TO_SHAPES (grid_25832_33_345)	grid_25832_33_345	COMPLETED	0	1	1.9s	3.1s	101.5%	15.8 MB	176.9 MB	338.8 MB	131.6 MB
